Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
17/06/2021,20:00:00,"1206","2167","1071","55","0","0","60","0","0","2701,36"
17/06/2021,20:01:00,"1177","1994","932","50","0","0","60","0","0","2495,99"
17/06/2021,20:02:00,"770","2190","1268","36","0","0","60","0","0","2645,15"
17/06/2021,20:03:00,"892","1940","1565","45","0","0","60","0","0","2647,36"
17/06/2021,20:04:00,"630","2069","1150","38","0","0","60","0","0","2449,52"
17/06/2021,20:05:00,"2933","3683","3811","26","0","0","60","0","0","6057,28"
17/06/2021,20:06:00,"2784","2560","3469","19","0","0","60","0","0","5132,08"
17/06/2021,20:07:00,"156","530","231","4","0","0","0","60","0","598,83"
17/06/2021,20:08:00,"1069","1994","1523","5","0","0","60","0","0","2727,33"
17/06/2021,20:09:00,"1728","1736","2428","16","0","0","60","0","0","3448,89"
17/06/2021,20:10:00,"2890","3151","5017","23","0","0","60","0","0","6591,75"
17/06/2021,20:11:00,"2643","3053","3350","22","0","0","60","0","0","5246,79"
17/06/2021,20:12:00,"3199","3656","6642","30","0","0","60","0","0","8228,98"
17/06/2021,20:13:00,"4567","5222","5170","29","0","0","60","0","0","8651,92"
17/06/2021,20:14:00,"2117","1616","2304","7","0","0","60","0","0","3521,59"
17/06/2021,20:15:00,"2116","1773","2035","8","0","0","60","0","0","3429,61"
17/06/2021,20:16:00,"1982","1373","2514","10","0","0","60","0","0","3483,34"
17/06/2021,20:17:00,"223","422","371","3","0","0","25","30","5","604,53"
17/06/2021,20:18:00,"1110","1718","1073","8","0","0","60","0","0","2309,75"
17/06/2021,20:19:00,"1647","2197","2049","20","0","0","60","0","0","3426,05"
17/06/2021,20:20:00,"3505","3106","2669","40","0","0","60","0","0","5390,35"
17/06/2021,20:21:00,"4753","3938","3036","65","0","0","60","0","0","6878,67"
17/06/2021,20:22:00,"3243","3855","3520","42","0","0","60","0","0","6145,61"
17/06/2021,20:23:00,"1697","2815","2813","39","0","0","60","0","0","4326,32"
17/06/2021,20:24:00,"1186","1328","1968","42","0","0","60","0","0","2653,9"
17/06/2021,20:25:00,"1243","1556","2706","29","0","0","60","0","0","3359,85"
17/06/2021,20:26:00,"2044","2599","1723","34","0","0","60","0","0","3728,47"
17/06/2021,20:27:00,"2043","3270","1348","35","0","0","60","0","0","4084,59"
17/06/2021,20:28:00,"1204","2972","1131","37","0","0","60","0","0","3400,23"
17/06/2021,20:29:00,"1177","3219","1067","39","0","0","60","0","0","3589,68"
17/06/2021,20:30:00,"1555","3281","1291","40","0","0","60","0","0","3853,53"
17/06/2021,20:31:00,"1049","2110","1165","22","0","0","60","0","0","2628,64"
17/06/2021,20:32:00,"277","567","559","3","0","0","9","51","0","843,03"
17/06/2021,20:33:00,"2992","3260","2890","35","0","0","60","0","0","5285,05"
17/06/2021,20:34:00,"2411","2525","3353","27","0","0","60","0","0","4840,57"
