Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
16/06/2021,17:00:00,"4132","3590","3132","25","37","0","60","0","0","6306,42"
16/06/2021,17:01:00,"6611","4630","3731","29","51","0","60","0","0","8891,71"
16/06/2021,17:02:00,"3420","2166","3000","22","0","0","60","0","0","5038,65"
16/06/2021,17:03:00,"5916","4859","5168","27","0","0","60","0","0","9236,73"
16/06/2021,17:04:00,"5120","4605","4864","26","0","0","60","0","0","8430,83"
16/06/2021,17:05:00,"4235","4551","4072","22","0","0","60","0","0","7431,56"
16/06/2021,17:06:00,"2112","1310","1872","13","0","0","60","0","0","3111,44"
16/06/2021,17:07:00,"2747","3062","2833","10","0","0","60","0","0","4994,77"
16/06/2021,17:08:00,"4290","3999","3489","38","132","0","60","0","0","6824,16"
16/06/2021,17:09:00,"3963","2139","2365","16","182","0","60","0","0","5086,64"
16/06/2021,17:10:00,"2191","1833","1649","32","65","0","60","0","0","3298,42"
16/06/2021,17:11:00,"1703","2013","1808","41","142","0","60","0","0","3197,07"
16/06/2021,17:12:00,"184","363","413","4","77","0","0","60","0","579,82"
16/06/2021,17:13:00,"1967","1560","1569","15","142","0","60","0","0","2960,48"
16/06/2021,17:14:00,"3432","2380","2509","16","203","0","60","0","0","4872,18"
16/06/2021,17:15:00,"1376","1535","1180","20","0","0","60","0","0","2375,29"
16/06/2021,17:16:00,"366","550","177","6","0","1","0","10","49","683,95"
16/06/2021,17:17:00,"169","200","312","3","0","0","0","3","57","407,31"
16/06/2021,17:18:00,"120","265","81","3","0","19","0","0","41","301,97"
16/06/2021,17:19:00,"101","109","3","4","0","6","0","1","53","148,63"
16/06/2021,17:20:00,"1179","1222","1474","12","0","0","60","0","0","2248,56"
16/06/2021,17:21:00,"267","221","126","2","0","57","0","1","2","368,79"
16/06/2021,17:22:00,"4291","5589","3745","33","0","0","60","0","0","7979,64"
16/06/2021,17:23:00,"3682","5065","6607","43","0","0","60","0","0","9102,96"
16/06/2021,17:24:00,"3478","2985","3859","22","0","0","60","0","0","5991,54"
16/06/2021,17:25:00,"2643","3449","5117","33","0","0","60","0","0","6713,03"
16/06/2021,17:26:00,"2304","2588","4862","23","0","0","60","0","0","5970,36"
16/06/2021,17:27:00,"4551","4215","4865","29","0","0","60","0","0","7883,28"
16/06/2021,17:28:00,"2778","2786","2555","36","0","0","60","0","0","4691,17"
16/06/2021,17:29:00,"4927","4648","4072","49","0","0","60","0","0","7903,19"
16/06/2021,17:30:00,"2033","1423","2565","15","0","0","60","0","0","3568,93"
16/06/2021,17:31:00,"2126","1781","4386","25","0","0","60","0","0","5189,3"
16/06/2021,17:32:00,"1476","1009","3874","23","0","0","60","0","0","4266,68"
16/06/2021,17:33:00,"4329","3515","4965","33","0","0","60","0","0","7466,37"
16/06/2021,17:34:00,"2319","2482","4312","28","0","0","60","0","0","5489,21"
16/06/2021,17:35:00,"2547","2015","4290","29","0","0","60","0","0","5380,66"
16/06/2021,17:36:00,"3723","4888","5708","33","0","0","60","0","0","8386,57"
16/06/2021,17:37:00,"3065","3044","4423","39","0","0","60","0","0","6182,48"
16/06/2021,17:38:00,"3828","3510","5060","35","0","0","60","0","0","7251,02"
16/06/2021,17:39:00,"3294","3690","5078","22","0","0","60","0","0","7088,91"
16/06/2021,17:40:00,"3163","3392","6522","26","0","0","60","0","0","8002,92"
16/06/2021,17:41:00,"3823","3826","7200","27","0","0","60","0","0","9005,2"
16/06/2021,17:42:00,"2839","3120","5588","25","0","0","60","0","0","7001,43"
16/06/2021,17:43:00,"2904","3381","6492","29","0","0","60","0","0","7874,67"
16/06/2021,17:44:00,"2844","3247","4686","27","0","0","60","0","0","6371,02"
16/06/2021,17:45:00,"2619","2719","4758","25","0","0","60","0","0","6073,77"
16/06/2021,17:46:00,"3023","3877","5631","34","0","0","60","0","0","7475,15"
16/06/2021,17:47:00,"4751","5023","7606","38","0","0","60","0","0","10278,8"
16/06/2021,17:48:00,"4982","4474","6133","34","0","0","60","0","0","9080,24"
16/06/2021,17:49:00,"3909","5728","7399","43","0","0","60","0","0","10140,78"
